Fitness,Migration Rate,RCT - Invasion
0.96,0.02,0.055995
0.96,0.025,0.068125
0.96,0.03,0.0793
0.96,0.035,0.0867
0.96,0.04,0.08273
0.96,0.045,0.06688
0.96,0.05,0.04452
0.96,0.055,0.019755
0.96,0.06,0.00797
0.96,0.065,0.003785
0.96,0.07,0.00164
0.96,0.075,0.001025
0.96,0.08,0.00055
0.96,0.085,0.000445
0.96,0.09,0.00027
0.96,0.095,0.00018
0.96,0.1,0.00022
0.98,0,0
0.98,0.005,0.01468
0.98,0.01,0.03027
0.98,0.015,0.0436
0.98,0.02,0.05729
0.98,0.025,0.06995
0.98,0.03,0.082815
0.98,0.035,0.090665
0.98,0.04,0.09875
0.98,0.045,0.089545
0.98,0.05,0.068385
0.98,0.055,0.039185
0.98,0.06,0.01759
0.98,0.065,0.00852
0.98,0.07,0.00458
0.98,0.075,0.002185
0.98,0.08,0.0013
0.98,0.085,0.00089
0.98,0.09,0.00062
0.98,0.095,0.00049
0.98,0.1,0.00028
1,0,0
1,0.005,0.015465
1,0.01,0.030245
1,0.015,0.04465
1,0.02,0.06116
1,0.025,0.075145
1,0.03,0.088015
1,0.035,0.10115
1,0.04,0.108885
1,0.045,0.105935
1,0.05,0.09156
1,0.055,0.0679
1,0.06,0.041435
1,0.065,0.020105
1,0.07,0.009615
1,0.075,0.004625
1,0.08,0.002245
1,0.085,0.00152
1,0.09,0.00117
1,0.095,0.0007
1,0.1,0.000565
